Log_Time_Stamp,Time_(sec),Physical_Layer(PHY),BT_MAC_Throughput_DL,BT_MAC_Throughput_DL,Tx_Power_(dBm)_class 2,Rx_Sensitivity_(dBm),Rx Power (dBm),Tx_Antenna GAIN_(dBi),Rx_Antenna_Gain(dBi),PATH LOSS_(dB) _(office),Range (ft),Range(m),Link_Margin,Signal_to_Noise_Ratio,Channel,Max_number_of_retransmission
Sep-25-20 21:28:41,1,EDR PHY (#/4 DQPSK) 2Mb/s,0.00 kbps,0.00 ,4,-90,-80.44,2,2,25,51,17,9.56,9.56,57,0
Sep-25-20 21:28:43,2,EDR PHY (#/4 DQPSK) 2Mb/s,0.00 kbps,0.00 ,4,-90,-83.56,2,2,25,51,17,6.44,6.44,47,0
Sep-25-20 21:28:43,3,EDR PHY (#/4 DQPSK) 2Mb/s,0.00 kbps,0.00 ,4,-90,-80,2,2,25,51,17,10,10,13,0
Sep-25-20 21:28:44,4,EDR PHY (#/4 DQPSK) 2Mb/s,0.00 kbps,0.00 ,4,-90,-83.75,2,2,25,51,17,6.25,6.25,23,0
Sep-25-20 21:28:46,5,EDR PHY (#/4 DQPSK) 2Mb/s,0.00 kbps,0.00 ,4,-90,-87.38,2,2,25,51,17,2.62,2.62,36,0
Sep-25-20 21:28:46,6,EDR PHY (#/4 DQPSK) 2Mb/s,0.00 kbps,0.00 ,4,-90,-82.13,2,2,25,51,17,7.87,7.87,25,0
Sep-25-20 21:28:47,7,EDR PHY (#/4 DQPSK) 2Mb/s,0.00 kbps,0.00 ,4,-90,-83.44,2,2,25,51,17,6.56,6.56,61,0
Sep-25-20 21:28:48,8,EDR PHY (#/4 DQPSK) 2Mb/s,9.44 kbps,9.44 ,4,-90,-84.53,2,2,25,51,17,5.47,5.47,55,0
Sep-25-20 21:28:49,9,EDR PHY (#/4 DQPSK) 2Mb/s,13.16 kbps,13.16 ,4,-90,-80.89,2,2,25,51,17,9.11,9.11,28,0
Sep-25-20 21:28:50,10,EDR PHY (#/4 DQPSK) 2Mb/s,12.51 kbps,12.51 ,4,-90,-80.2,2,2,25,51,17,9.8,9.8,26,0
Sep-25-20 21:28:51,11,EDR PHY (#/4 DQPSK) 2Mb/s,15.20 kbps,15.20 ,3.5,-90,-78.3,2,2,25,51,17,11.7,11.7,35,0
Sep-25-20 21:28:52,12,EDR PHY (#/4 DQPSK) 2Mb/s,12.03 kbps,12.03 ,4,-90,-80,2,2,25,51,17,10,10,23,0
Sep-25-20 21:28:54,13,EDR PHY (#/4 DQPSK) 2Mb/s,10.75 kbps,10.75 ,4,-90,-83.47,2,2,25,51,17,6.53,6.53,3,0
Sep-25-20 21:28:54,14,EDR PHY (#/4 DQPSK) 2Mb/s,9.31 kbps,9.31 ,4,-90,-81.54,2,2,25,51,17,8.46,8.46,10,0
Sep-25-20 21:28:55,15,EDR PHY (#/4 DQPSK) 2Mb/s,15.47 kbps,15.47 ,4,-90,-80.56,2,2,25,51,17,9.44,9.44,4,0
Sep-25-20 21:28:56,16,EDR PHY (#/4 DQPSK) 2Mb/s,15.24 kbps,15.24 ,4,-90,-82.09,2,2,25,51,17,7.91,7.91,35,0
Sep-25-20 21:28:57,17,EDR PHY (#/4 DQPSK) 2Mb/s,13.11 kbps,13.11 ,4,-90,-79.66,2,2,25,51,17,10.34,10.34,79,0
Sep-25-20 21:28:58,18,EDR PHY (#/4 DQPSK) 2Mb/s,15.33 kbps,15.33 ,4,-90,-79.76,2,2,25,51,17,10.24,10.24,47,0
Sep-25-20 21:28:59,19,EDR PHY (#/4 DQPSK) 2Mb/s,15.34 kbps,15.34 ,4,-90,-81.1,2,2,25,51,17,8.9,8.9,29,0
Sep-25-20 21:29:00,20,EDR PHY (#/4 DQPSK) 2Mb/s,13.59 kbps,13.59 ,4,-90,-84.33,2,2,25,51,17,5.67,5.67,34,0
Sep-25-20 21:29:02,21,EDR PHY (#/4 DQPSK) 2Mb/s,15.17 kbps,15.17 ,4,-90,-84.92,2,2,25,51,17,5.08,5.08,77,0
Sep-25-20 21:29:02,22,EDR PHY (#/4 DQPSK) 2Mb/s,15.22 kbps,15.22 ,4,-90,-83.19,2,2,25,51,17,6.81,6.81,23,0
Sep-25-20 21:29:03,23,EDR PHY (#/4 DQPSK) 2Mb/s,15.19 kbps,15.19 ,4,-90,-81.43,2,2,25,51,17,8.57,8.57,52,0
Sep-25-20 21:29:05,24,EDR PHY (#/4 DQPSK) 2Mb/s,10.05 kbps,10.05 ,4,-90,-82.55,2,2,25,51,17,7.45,7.45,16,0
Sep-25-20 21:29:05,25,EDR PHY (#/4 DQPSK) 2Mb/s,12.27 kbps,12.27 ,4,-90,-80.74,2,2,25,51,17,9.26,9.26,67,0
Sep-25-20 21:29:06,26,EDR PHY (#/4 DQPSK) 2Mb/s,15.33 kbps,15.33 ,4,-90,-79.47,2,2,25,51,17,10.53,10.53,7,0
Sep-25-20 21:29:07,27,EDR PHY (#/4 DQPSK) 2Mb/s,15.26 kbps,15.26 ,4,-90,-79.28,2,2,25,51,17,10.72,10.72,19,0
Sep-25-20 21:29:08,28,EDR PHY (#/4 DQPSK) 2Mb/s,14.75 kbps,14.75 ,4,-90,-77.64,2,2,25,51,17,12.36,12.36,33,0
Sep-25-20 21:29:10,29,EDR PHY (#/4 DQPSK) 2Mb/s,14.39 kbps,14.39 ,4,-90,-76.33,2,2,25,51,17,13.67,13.67,54,0
Sep-25-20 21:29:10,30,EDR PHY (#/4 DQPSK) 2Mb/s,15.22 kbps,15.22 ,4,-90,-83.47,2,2,25,51,17,6.53,6.53,8,0
Sep-25-20 21:29:11,31,EDR PHY (#/4 DQPSK) 2Mb/s,15.35 kbps,15.35 ,4,-90,-81.54,2,2,25,51,17,8.46,8.46,60,0
Sep-25-20 21:29:13,32,EDR PHY (#/4 DQPSK) 2Mb/s,15.24 kbps,15.24 ,4,-90,-80.56,2,2,25,51,17,9.44,9.44,37,0
Sep-25-20 21:29:13,33,EDR PHY (#/4 DQPSK) 2Mb/s,15.29 kbps,15.29 ,4,-90,-82.09,2,2,25,51,17,7.91,7.91,42,0
Sep-25-20 21:29:14,34,EDR PHY (#/4 DQPSK) 2Mb/s,13.33 kbps,13.33 ,4,-90,-79.66,2,2,25,51,17,10.34,10.34,72,0
Sep-25-20 21:29:15,35,EDR PHY (#/4 DQPSK) 2Mb/s,15.23 kbps,15.23 ,4,-90,-79.76,2,2,25,51,17,10.24,10.24,9,0
Sep-25-20 21:29:16,36,EDR PHY (#/4 DQPSK) 2Mb/s,14.93 kbps,14.93 ,4,-90,-81.1,2,2,25,51,17,8.9,8.9,9,0
Sep-25-20 21:29:18,37,EDR PHY (#/4 DQPSK) 2Mb/s,15.72 kbps,15.72 ,4,-90,-84.33,2,2,25,51,17,5.67,5.67,49,0
Sep-25-20 21:29:18,38,EDR PHY (#/4 DQPSK) 2Mb/s,15.05 kbps,15.05 ,4,-90,-84.92,2,2,25,51,17,5.08,5.08,7,0
Sep-25-20 21:29:19,39,EDR PHY (#/4 DQPSK) 2Mb/s,16.27 kbps,16.27 ,4,-90,-83.19,2,2,25,51,17,6.81,6.81,63,0
Sep-25-20 21:29:21,40,EDR PHY (#/4 DQPSK) 2Mb/s,15.15 kbps,15.15 ,4,-90,-81.43,2,2,25,51,17,8.57,8.57,32,0
Sep-25-20 21:29:21,41,EDR PHY (#/4 DQPSK) 2Mb/s,15.39 kbps,15.39 ,4,-90,-82.55,2,2,25,51,17,7.45,7.45,62,0
Sep-25-20 21:29:22,42,EDR PHY (#/4 DQPSK) 2Mb/s,15.23 kbps,15.23 ,4,-90,-80.74,2,2,25,51,17,9.26,9.26,5,0
Sep-25-20 21:29:23,43,EDR PHY (#/4 DQPSK) 2Mb/s,15.45 kbps,15.45 ,4,-90,-83.47,2,2,25,51,17,6.53,6.53,58,0
Sep-25-20 21:29:24,44,EDR PHY (#/4 DQPSK) 2Mb/s,15.20 kbps,15.20 ,4,-90,-81.54,2,2,25,51,17,8.46,8.46,31,0
Sep-25-20 21:29:26,45,EDR PHY (#/4 DQPSK) 2Mb/s,13.10 kbps,13.10 ,4,-90,-80.56,2,2,25,51,17,9.44,9.44,61,0
Sep-25-20 21:29:26,46,EDR PHY (#/4 DQPSK) 2Mb/s,14.21 kbps,14.21 ,4,-90,-82.09,2,2,25,51,17,7.91,7.91,19,0
Sep-25-20 21:29:27,47,EDR PHY (#/4 DQPSK) 2Mb/s,14.99 kbps,14.99 ,4,-90,-79.66,2,2,25,51,17,10.34,10.34,52,0
Sep-25-20 21:29:29,48,EDR PHY (#/4 DQPSK) 2Mb/s,15.29 kbps,15.29 ,4,-90,-79.76,2,2,25,51,17,10.24,10.24,48,0
Sep-25-20 21:29:29,49,EDR PHY (#/4 DQPSK) 2Mb/s,15.93 kbps,15.93 ,4,-90,-81.1,2,2,25,51,17,8.9,8.9,15,0
Sep-25-20 21:29:30,50,EDR PHY (#/4 DQPSK) 2Mb/s,15.29 kbps,15.29 ,4,-90,-84.33,2,2,25,51,17,5.67,5.67,48,0
Sep-25-20 21:29:31,51,EDR PHY (#/4 DQPSK) 2Mb/s,15.54 kbps,15.54 ,4,-90,-84.92,2,2,25,51,17,5.08,5.08,37,0
Sep-25-20 21:29:32,52,EDR PHY (#/4 DQPSK) 2Mb/s,15.18 kbps,15.18 ,4,-90,-83.19,2,2,25,51,17,6.81,6.81,21,0
Sep-25-20 21:29:33,53,EDR PHY (#/4 DQPSK) 2Mb/s,15.55 kbps,15.55 ,4,-90,-81.43,2,2,25,51,17,8.57,8.57,16,0
Sep-25-20 21:29:34,54,EDR PHY (#/4 DQPSK) 2Mb/s,15.22 kbps,15.22 ,3.8,-90,-82.55,2,2,25,51,17,7.45,7.45,30,0
